geoid,weighted_wfp,e_pop,state
28017,0,17279,MISSISSIPPI
26035,6.086094399,30616,MICHIGAN
20157,0.019858953,4686,KANSAS
12127,0,527634,FLORIDA
40017,1.789964606,136710,OKLAHOMA
13115,90.19296578,96824,GEORGIA
32001,0.289229215,24010,NEVADA
31181,0,3571,NEBRASKA
17067,0,18112,ILLINOIS
46067,4.341994505,7315,SOUTH DAKOTA
41013,51.8823919,22337,OREGON
50011,0,49025,VERMONT
26103,2.489163491,66939,MICHIGAN
9007,0.08238418,163368,CONNECTICUT
37057,41.38137429,164664,NORTH CAROLINA
17025,0,13338,ILLINOIS
29103,0,3951,MISSOURI
29117,0,15076,MISSOURI
42117,0,41226,PENNSYLVANIA
31043,2.274579999,20317,NEBRASKA
26089,0,21639,MICHIGAN
51181,1.595079156,6600,VIRGINIA
48391,0,7236,TEXAS
39017,0,378294,OHIO
13273,15.64904931,8859,GEORGIA
13063,19.55491986,278666,GEORGIA
56013,29.81358396,40076,WYOMING
18115,0,5887,INDIANA
13073,77.09509155,147295,GEORGIA
8115,0,2350,COLORADO
30065,6.596480833,4807,MONTANA
42043,0,274515,PENNSYLVANIA
46101,1.707239114,6506,SOUTH DAKOTA
54079,3.457795653,56652,WEST VIRGINIA
34037,69.14382327,142298,NEW JERSEY
20039,0,2881,KANSAS
18123,0,19141,INDIANA
28145,6.319198116,28356,MISSISSIPPI
31015,13.54008598,2042,NEBRASKA
27095,44.87046777,25728,MINNESOTA
38099,9.707744928,10802,NORTH DAKOTA
39115,0,14702,OHIO
39133,0,162644,OHIO
56041,17.81765655,20609,WYOMING
32013,1.729603837,16904,NEVADA
48247,0.383853204,5282,TEXAS
8017,0,2039,COLORADO
41005,57.85189512,405788,OREGON
5113,30.94982889,20163,ARKANSAS
13193,65.2631606,13480,GEORGIA
18007,0,8667,INDIANA
47129,29.31534409,21596,TENNESSEE
46043,3.998303496,2930,SOUTH DAKOTA
24047,0,51564,MARYLAND
17185,0,11573,ILLINOIS
18069,0,36378,INDIANA
21209,0,53517,KENTUCKY
19053,1.118724067,8044,IOWA
18169,0,31631,INDIANA
18003,0,370016,INDIANA
18099,0,46595,INDIANA
31171,18.21347521,645,NEBRASKA
38085,28.77713019,4413,NORTH DAKOTA
48127,0.058125569,10663,TEXAS
27045,0,20888,MINNESOTA
45023,1.388784688,32326,SOUTH CAROLINA
27073,8.956707143,6773,MINNESOTA
49005,2.873994737,122336,UTAH
55093,0,41603,WISCONSIN
13049,0,12983,GEORGIA
13233,86.13840139,41621,GEORGIA
17113,0,173219,ILLINOIS
23001,0,107444,MAINE
16055,44.98663504,153605,IDAHO
32003,26.36900545,2141574,NEVADA
20147,0,5408,KANSAS
31089,33.4437296,10245,NEBRASKA
29101,0,53689,MISSOURI
55063,0,117850,WISCONSIN
22021,0,9996,LOUISIANA
21061,0,12122,KENTUCKY
17005,0,16712,ILLINOIS
17009,0,6675,ILLINOIS
27085,0.005038012,35825,MINNESOTA
55033,0,44498,WISCONSIN
8027,67.25970865,4640,COLORADO
29123,0.367626179,12205,MISSOURI
48353,63.08258319,14966,TEXAS
42127,0,51536,PENNSYLVANIA
36091,35.62994014,227377,NEW YORK
48041,0,219193,TEXAS
40095,50.56962891,16376,OKLAHOMA
24001,0,71977,MARYLAND
54103,0,15614,WEST VIRGINIA
55053,1.473912681,20506,WISCONSIN
41007,0,38562,OREGON
53041,22.92566171,76947,WASHINGTON
36003,0,47025,NEW YORK
19031,0,18445,IOWA
18117,0,19547,INDIANA
13089,2.896798558,743187,GEORGIA
13227,80.58376638,30832,GEORGIA
30015,0.613408415,5789,MONTANA
31017,27.19667908,2988,NEBRASKA
47013,30.71366948,39687,TENNESSEE
37069,0.782839482,64902,NORTH CAROLINA
