"GEOID","county_sum","weighted_wfp"
"17065",15489,0
"17067",28934,0
"17069",6448,0
"17071",14036,0
"17073",29330,0
"17075",39763,0
"17077",21402,0
"17079",17699,0
"17081",20739,0
"17083",13424,0
"17085",21979,0
"17087",12395,0
"17089",18621,0
"17091",24203,0
"17093",11450,0
"17095",25576,0
"17097",16697,0
"17099",40794,0
"17101",13292,0
"17103",25884,0
"17105",37159,0
"17107",21993,0
"17109",20956,0
"17111",21711,0
"17113",42144,0
"17115",20808,0
"17117",30831,0
"17119",26292,0
"17121",20467,0
"17123",14162,0
"17125",20017,0
"17127",8603,0
"17129",11206,0
"17131",20202,0
"17133",14149,0
"17135",25214,0
"17137",20342,0
"17139",12243,0
"17141",27123,0
"17143",22402,0
"17145",15878,0
"17147",15616,0
"17149",30164,0
"17151",13303,0
"17153",7208,0
"17155",6118,0
"17157",21201,0
"17159",12858,0
"17161",16035,0
"17163",23941,0
"17165",13746,0
"17167",31158,0
"17169",15685,0
"17171",8972,0
"17173",27290,0
"17175",10243,0
"17177",20062,0
"17179",23368,0
"17181",14996,0
"17183",32021,0
"17185",8081,0
"17187",19308,0
"17189",20060,0
"17191",25414,0
"17193",17833,0
"17195",24744,0
"17197",30173,0
"17199",15790,0
"17201",18449,0
"17203",19276,0
"18001",12072,0
"18003",23454,0
"18005",14548,0
"18007",14441,0
"18009",5881,0
"18011",15041,0
"18013",11252,0
"18015",13320,0
"18017",14743,0
"18019",13369,0
"18021",12804,0
"18023",14400,0
"18025",10966,0
"18027",15517,0
"18029",10914,0
"18031",13265,0
"18033",12927,0
"18035",14071,0
"18037",15467,0
"18039",16628,0
"18041",7642,0
"18043",5314,0
"18045",14133,0
"18047",13895,0
"18049",13187,0
"18051",17743,0
"18053",14739,0
"18055",19396,0
"18057",14298,0
"18059",10911,0
"18061",17273,0
"18063",14522,0
"18065",14024,0
"18067",10443,0
"18069",13773,0
"18071",18262,0
"18073",19945,0
"18075",13649,0
"18077",12899,0
"18079",13446,0
"18081",11436,0
"18083",18615,0
"18085",19698,0
"18087",13735,0
"18089",17888,0
"18091",21450,0
"18093",16056,0
"18095",16089,0
"18097",14313,0
"18099",15978,0
"18101",12094,0
"18103",13409,0
"18105",14611,0
"18107",17955,0
"18109",14551,0
"18111",14333,0
"18113",14832,0
"18115",3111,0
"18117",14502,0
"18119",13781,0
"18121",15976,0
"18123",13731,0
"18125",12120,0
"18127",14908,0
"18129",14899,0
"18131",15433,0
"18133",17147,0
"18135",16106,0
"18137",15917,0
"18139",14515,0
"18141",16390,0
"18143",6852,0
"18145",14658,0
"18147",14270,0
"18149",11094,0
"18151",11456,0
"18153",16139,0
"18155",7947,0
"18157",17882,0
"18159",9254,0
"18161",5864,0
"18163",8417,0
"18165",9245,0
"18167",14580,0
"18169",14957,0
"18171",13019,0
"18173",13887,0
"18175",18355,0
"18177",14367,0
"18179",13159,0
"18181",18070,0
"18183",12005,0
"19001",20260,0
"19003",15129,0
"19005",23412,0
"19007",18346,0
"19009",15721,0
"19011",25523,0
"19013",20344,0
"19015",20376,0
"19017",15609,0
"19019",20370,0
"19021",20627,0
"19023",20676,0
"19025",20328,0
"19027",20277,0
"19029",20099,0
"19031",20679,0
"19033",20421,0
"19035",20506,0
"19037",17968,0
"19039",15348,0
"19041",20352,0
"19043",28157,0
"19045",25230,0
"19047",25346,0
