"","geoid_text","weighted_im"
"203","06091",79.9435309263269
"204","06093",34.6237518400936
"205","06095",51.9524005313429
"206","06097",67.0356037425494
"207","06099",54.4312114226221
"208","06101",81.9253088990698
"209","06103",81.5639227758142
"210","06105",56.5748468841584
"211","06107",38.3724488608596
"212","06109",83.0395469736354
"213","06111",45.6016196051075
"214","06113",38.9829003436426
"215","06115",93.8534923339012
"216","08001",39.4555941394729
"217","08003",5.603478463873
"218","08005",42.952848311271
"219","08007",55.7849297149146
"220","08009",0.29961149448058
"221","08011",2.64648715794089
"222","08013",77.2375484754011
"223","08014",81.7098662207358
"224","08015",58.4622722608913
"225","08017",2.67049009384776
"226","08019",91.1098019731706
"227","08021",31.0577845617095
"228","08023",28.6274554643372
"229","08025",12.796525531017
"230","08027",69.8577678027998
"231","08029",44.1161611211839
