fips,state,rpl_themes,e_pop
8103,COLORADO,0.3401,6465
8105,COLORADO,0.9586,11351
8107,COLORADO,0.0634,24874
8109,COLORADO,0.807,6468
8111,COLORADO,0.1283,544
8113,COLORADO,0.0331,7968
8115,COLORADO,0.6936,2350
8117,COLORADO,0.0707,30429
8119,COLORADO,0.0729,24113
8121,COLORADO,0.2822,4840
8123,COLORADO,0.3994,295123
8125,COLORADO,0.5637,10069
9001,CONNECTICUT,0.4497,944348
9003,CONNECTICUT,0.515,894730
9005,CONNECTICUT,0.0818,183031
9007,CONNECTICUT,0.1182,163368
9009,CONNECTICUT,0.5223,859339
9011,CONNECTICUT,0.3561,268881
9013,CONNECTICUT,0.0694,151269
9015,CONNECTICUT,0.4232,116538
10001,DELAWARE,0.7268,174822
10003,DELAWARE,0.3761,555133
10005,DELAWARE,0.4019,219540
11001,DISTRICT OF COLUMBIA,0.5965,684498
12001,FLORIDA,0.4729,263148
12003,FLORIDA,0.6803,27785
12005,FLORIDA,0.6076,182482
12007,FLORIDA,0.9264,26979
12009,FLORIDA,0.3713,576808
12011,FLORIDA,0.5844,1909151
12013,FLORIDA,0.8401,14444
12015,FLORIDA,0.4889,176954
12017,FLORIDA,0.6022,143087
12019,FLORIDA,0.3803,207291
12021,FLORIDA,0.4618,363922
12023,FLORIDA,0.8596,69105
12027,FLORIDA,0.9618,36399
12029,FLORIDA,0.8994,16437
12031,FLORIDA,0.692,924229
12033,FLORIDA,0.4863,311522
12035,FLORIDA,0.2799,107139
12037,FLORIDA,0.8083,11736
12039,FLORIDA,0.9901,46017
12041,FLORIDA,0.7567,17615
12043,FLORIDA,0.9048,13363
12045,FLORIDA,0.592,16055
12047,FLORIDA,0.9908,14269
12049,FLORIDA,0.9831,27228
12051,FLORIDA,0.9939,40127
12053,FLORIDA,0.549,182696
12055,FLORIDA,0.8729,102101
12057,FLORIDA,0.6701,1378883
12059,FLORIDA,0.9347,19430
12061,FLORIDA,0.3962,150984
12063,FLORIDA,0.9583,48472
12065,FLORIDA,0.5748,14105
12067,FLORIDA,0.9806,8744
12069,FLORIDA,0.6029,335362
12071,FLORIDA,0.5525,718679
12073,FLORIDA,0.4943,288102
12075,FLORIDA,0.7793,39961
12077,FLORIDA,0.8334,8365
12079,FLORIDA,0.9608,18474
12081,FLORIDA,0.5197,373853
12083,FLORIDA,0.7535,348371
12085,FLORIDA,0.399,157581
12086,FLORIDA,0.8175,2715516
12087,FLORIDA,0.4557,76325
12089,FLORIDA,0.2459,80578
12091,FLORIDA,0.386,200737
12093,FLORIDA,0.9465,40572
12095,FLORIDA,0.6691,1321194
12097,FLORIDA,0.8178,338619
12099,FLORIDA,0.5592,1446277
12101,FLORIDA,0.6344,510593
12103,FLORIDA,0.5169,957875
12105,FLORIDA,0.9035,668671
12107,FLORIDA,0.9525,72766
12109,FLORIDA,0.0761,235503
12111,FLORIDA,0.7185,305591
12113,FLORIDA,0.3096,170442
12115,FLORIDA,0.2538,412144
12117,FLORIDA,0.1844,455086
12119,FLORIDA,0.236,120999
12121,FLORIDA,0.9424,43924
